County,CBSA Code,Type
26023,17740,B
48041,17780,A
48051,17780,A
48395,17780,A
08041,17820,A
08119,17820,A
29019,17860,A
45017,17900,A
45039,17900,A
45055,17900,A
45063,17900,A
45079,17900,A
45081,17900,A
01113,17980,A
13053,17980,A
13145,17980,A
13197,17980,A
13215,17980,A
18005,18020,A
28087,18060,B
31141,18100,B
39041,18140,A
39045,18140,A
39049,18140,A
39073,18140,A
39089,18140,A
39097,18140,A
39117,18140,A
39127,18140,A
39129,18140,A
39159,18140,A
33013,18180,B
18041,18220,B
47087,18260,B
47133,18260,B
47141,18260,B
41011,18300,B
13081,18380,B
28003,18420,B
13137,18460,B
36101,18500,B
48007,18580,A
48355,18580,A
48409,18580,A
48349,18620,B
36023,18660,B
41003,18700,A
39031,18740,B
08081,18780,B
18107,18820,B
06015,18860,B
12091,18880,A
12131,18880,A
47035,18900,B
01043,18980,B
37099,19000,B
24001,19060,A
54057,19060,A
48085,19100,A
48113,19100,A
48121,19100,A
48139,19100,A
48231,19100,A
48257,19100,A
48397,19100,A
48221,19100,A
48251,19100,A
48367,19100,A
48425,19100,A
48439,19100,A
48497,19100,A
13213,19140,A
13313,19140,A
17183,19180,A
21021,19220,B
21137,19220,B
51143,19260,B
51590,19260,B
01003,19300,A
17073,19340,A
17131,19340,A
17161,19340,A
19163,19340,A
39057,19380,A
39109,19380,A
39113,19380,A
47143,19420,B
01079,19460,A
01103,19460,A
17115,19500,A
18001,19540,B
39039,19580,B
48465,19620,B
12035,19660,A
12127,19660,A
35029,19700,B
08001,19740,A
08005,19740,A
08014,19740,A
08019,19740,A
08031,19740,A
08035,19740,A
08039,19740,A
08047,19740,A
08059,19740,A
08093,19740,A
22011,19760,B
19049,19780,A
19077,19780,A
19121,19780,A
19153,19780,A
19181,19780,A
26163,19820,A
26087,19820,A
26093,19820,A
26099,19820,A
26125,19820,A
26147,19820,A
38089,19860,B
17103,19940,B
20057,19980,B
01061,20020,A
01067,20020,A
01069,20020,A
13069,20060,B
10001,20100,A
13167,20140,B
13175,20140,B
42033,20180,B
19061,20220,A
27017,20260,A
27137,20260,A
55031,20260,A
48341,20300,B
40137,20340,B
37085,20380,B
08067,20420,B
40013,20460,B
37037,20500,A
37063,20500,A
37135,20500,A
37145,20500,A
47045,20540,B
48323,20580,B
24041,20660,B
42089,20700,A
55017,20740,A
55035,20740,A
08037,20780,B
17049,20820,B
48481,20900,B
06025,20940,A
05139,20980,B
37029,21020,B
37139,21020,B
37143,21020,B
21093,21060,A
21123,21060,A
21163,21060,A
40009,21120,B
18039,21140,A
54083,21180,B
32007,21220,B
32011,21220,B
53037,21260,B
36015,21300,A
48141,21340,A
48229,21340,A
20111,21380,B
40047,21420,B
01031,21460,B
42049,21500,A
26041,21540,B
35039,21580,B
41039,21660,A
06023,21700,B
56041,21740,B
18129,21780,A
18163,21780,A
18173,21780,A
21101,21780,A
02090,21820,A
19101,21840,B
54049,21900,B
32001,21980,B
27027,22020,A
38017,22020,A
27131,22060,B
29187,22100,B
35045,22140,A
37051,22180,A
37093,22180,A
05007,22220,A
05087,22220,A
05143,22220,A
29119,22220,A
27111,22260,B
32019,22280,B
39063,22300,B
13017,22340,B
04005,22380,A
26049,22420,A
45031,22500,A
45041,22500,A
01033,22520,A
01077,22520,A
55039,22540,A
37161,22580,B
05123,22620,B
08069,22660,A
19187,22700,B
29169,22780,B
17067,22800,B
19111,22800,B
29045,22800,B
08087,22820,B
22115,22860,B
05033,22900,A
05131,22900,A
40079,22900,A
40135,22900,A
18003,23060,A
18179,23060,A
18183,23060,A
18023,23140,B
21005,23180,B
21073,23180,B
48171,23240,B
17177,23300,B
31053,23340,B
39143,23380,B
06019,23420,A
01055,23460,A
45021,23500,B
12001,23540,A
12041,23540,A
13139,23580,A
48097,23620,B
17095,23660,B
35031,23700,B
20055,23780,B
20093,23780,B
32005,23820,B
45043,23860,B
42001,23900,A
56005,23940,B
21009,23980,B
21169,23980,B
36113,24020,A
36115,24020,A
08045,24060,B
08097,24060,B
36035,24100,B
37191,24140,A
27119,24220,A
38035,24220,A
31079,24260,A
31081,24260,A
31093,24260,A
31121,24260,A
08077,24300,A
26015,24340,A
26081,24340,A
26117,24340,A
26139,24340,A
35006,24380,B
41033,24420,A
20009,24460,B
30013,24500,A
08123,24540,A
55009,24580,A
55061,24580,A
55083,24580,A
47059,24620,B
25011,24640,B
37081,24660,A
37151,24660,A
37157,24660,A
18031,24700,B
28151,24740,B
37147,24780,A
39037,24820,B
45007,24860,A
45045,24860,A
45059,24860,A
45077,24860,A
28015,24900,B
28083,24900,B
45001,24940,B
45047,24940,B
28043,24980,B
72015,25020,A
72057,25020,A
72109,25020,A
28045,25060,A
28047,25060,A
28059,25060,A
40139,25100,B
24043,25180,A
54003,25180,A
16013,25200,B
16025,25200,B
16063,25200,B
22105,25220,A
06031,25260,A
29127,25300,B
29173,25300,B
42041,25420,A
42043,25420,A
42099,25420,A
05009,25460,B
05101,25460,B
51165,25500,A
51660,25500,A
09003,25540,A
09007,25540,A
09013,25540,A
31001,25580,B
28035,25620,A
28073,25620,A
28111,25620,A
20051,25700,B
49051,25720,B
30043,25740,B
30049,25740,B
05107,25760,B
37181,25780,B
48117,25820,B
41049,25840,B
41059,25840,B
37003,25860,A
37023,25860,A
37027,25860,A
37035,25860,A
26059,25880,B
15001,25900,B
45013,25940,A
45053,25940,A
13179,25980,A
13183,25980,A
35025,26020,B
26005,26090,B
12017,26140,A
41027,26220,B
05051,26300,A
26061,26340,B
26083,26340,B
22057,26380,A
22109,26380,A
48015,26420,A
48039,26420,A
48071,26420,A
48157,26420,A
48167,26420,A
48201,26420,A
48291,26420,A
48339,26420,A
48473,26420,A
36021,26460,B
42061,26500,B
18069,26540,B
21019,26580,A
21089,26580,A
39087,26580,A
54011,26580,A
54043,26580,A
54079,26580,A
54099,26580,A
01083,26620,A
01089,26620,A
48455,26660,B
48471,26660,B
46005,26700,B
20155,26740,B
27085,26780,B
16019,26820,A
16023,26820,A
16051,26820,A
42063,26860,B
18011,26900,A
18013,26900,A
18057,26900,A
18059,26900,A
18063,26900,A
18081,26900,A
18095,26900,A
18097,26900,A
18109,26900,A
18133,26900,A
18145,26900,A
28133,26940,B
26067,26960,B
19103,26980,A
19183,26980,A
26043,27020,B
55037,27020,B
36109,27060,A
26075,27100,A
28029,27140,A
28049,27140,A
28089,27140,A
28121,27140,A
28127,27140,A
28163,27140,A
39079,27160,B
47023,27180,A
47033,27180,A
47113,27180,A
16081,27220,B
56039,27220,B
12003,27260,A
12019,27260,A
12031,27260,A
12089,27260,A
12109,27260,A
17137,27300,B
17171,27300,B
37133,27340,A
48073,27380,B
38093,27420,B
36013,27460,B
55105,27500,A
18037,27540,B
18125,27540,B
72073,27580,B
13157,27600,B
29027,27620,A
29051,27620,A
29135,27620,A
29151,27620,A
13305,27700,B
47019,27740,A
47171,27740,A
47179,27740,A
42021,27780,A
05031,27860,A
05111,27860,A
29097,27900,A
29145,27900,A
20061,27920,B
02110,27940,B
15005,27980,A
15009,27980,A
26077,28020,A
26159,28020,A
30029,28060,B
17091,28100,A
20091,28140,A
20103,28140,A
20107,28140,A
20121,28140,A
20209,28140,A
29013,28140,A
29025,28140,A
29037,28140,A
29047,28140,A
29049,28140,A
29095,28140,A
29107,28140,A
29165,28140,A
29177,28140,A
15007,28180,B
31019,28260,B
31099,28260,B
33005,28300,B
18113,28340,B
29069,28380,B
53005,28420,A
53021,28420,A
48265,28500,B
02130,28540,B
12087,28580,B
37055,28620,B
37177,28620,B
48027,28660,A
48099,28660,A
48281,28660,A
47073,28700,A
47163,28700,A
51169,28700,A
51191,28700,A
51520,28700,A
36111,28740,A
48261,28780,B
48273,28780,B
37107,28820,B
29001,28860,B
29197,28860,B
41035,28900,B
47001,28940,A
47009,28940,A
47013,28940,A
47057,28940,A
47093,28940,A
47105,28940,A
47129,28940,A
47145,28940,A
47173,28940,A
18067,29020,A
33001,29060,B
27055,29100,A
55063,29100,A
22001,29180,A
22045,29180,A
22055,29180,A
22099,29180,A
22113,29180,A
18007,29200,A
18015,29200,A
18157,29200,A
41061,29260,B
13285,29300,B
22019,29340,A
22023,29340,A
12023,29380,B
04015,29420,A
12105,29460,A
48115,29500,B
42071,29540,A
26037,29620,A
26045,29620,A
26065,29620,A
56001,29660,B
48479,29700,A
35013,29740,A
35047,29780,B
32003,29820,A
28061,29860,B
28067,29860,B
37165,29900,B
20045,29940,A
47099,29980,B
40031,30020,A
40033,30020,A
29105,30060,B
42075,30140,A
48219,30220,B
42119,30260,B
47117,30280,B
16069,30300,A
53003,30300,A
